Sample in Buffer,Sample in Window,TRIGGER,SystolicCore0/serial2mem_opA/uart_ready_rx_out,SystolicCore0/serial2mem_opA/nreset,SystolicCore0/serial2mem_opA/rw,SystolicCore0/serial2mem_opA/valid_i,SystolicCore0/serial2mem_opA/rready_i,SystolicCore0/serial2mem_opA/rvalid_o,SystolicCore0/serial2mem_opA/ready_o,SystolicCore0/serial2mem_opA/single_port_ram_en,SystolicCore0/serial2mem_opA/in_data[3:0],SystolicCore0/serial2mem_opA/out_data[63:0],SystolicCore0/serial2mem_opA/single_port_ram_di_reg[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
115,115,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
116,116,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
117,117,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
118,118,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
119,119,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
120,120,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
121,121,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
122,122,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
123,123,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
124,124,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
125,125,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
126,126,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
127,127,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
128,128,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
129,129,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
130,130,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
131,131,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
132,132,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
133,133,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
134,134,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
135,135,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
136,136,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
137,137,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
138,138,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
139,139,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
140,140,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
141,141,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
142,142,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
143,143,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
144,144,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
145,145,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
146,146,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
147,147,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
148,148,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
149,149,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
150,150,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
151,151,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
152,152,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
153,153,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
154,154,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
155,155,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
156,156,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
157,157,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
158,158,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
159,159,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
160,160,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
161,161,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
162,162,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
163,163,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
164,164,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
165,165,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
166,166,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
167,167,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
168,168,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
169,169,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
170,170,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
171,171,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
172,172,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
173,173,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
174,174,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
175,175,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
176,176,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
177,177,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
178,178,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
179,179,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
180,180,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
181,181,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
182,182,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
183,183,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
184,184,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
185,185,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
186,186,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
187,187,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
188,188,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
189,189,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
190,190,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
191,191,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
192,192,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
193,193,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
194,194,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
195,195,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
196,196,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
197,197,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
198,198,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
199,199,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
200,200,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
201,201,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
202,202,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
203,203,0,0,1,0,1,0,0,0,0,2,0000000000000000,0000011144414430
