43.0 ,   7100.0  ,   70
50.0 ,   7200.0  ,   71
48.0 ,   7300.0  ,   72
39.0 ,   7400.0  ,   73
40.0 ,   7500.0  ,   74
39.0 ,   7600.0  ,   75
35.0 ,   7700.0  ,   76
30.0 ,   7800.0  ,   77
36.0 ,   7900.0  ,   78
36.0 ,   8000.0  ,   79
35.0 ,   8100.0  ,   80
38.0 ,   8200.0  ,   81
34.0 ,   8300.0  ,   82
35.0 ,   8400.0  ,   83
33.0 ,   8500.0  ,   84
31.0 ,   8600.0  ,   85
43.0 ,   8700.0  ,   86
34.0 ,   8800.0  ,   87
34.0 ,   8900.0  ,   88
46.0 ,   9000.0  ,   89
42.0 ,   9100.0  ,   90
32.0 ,   9200.0  ,   91
37.0 ,   9300.0  ,   92
49.0 ,   9400.0  ,   93
57.0 ,   9500.0  ,   94
62.0 ,   9600.0  ,   95
73.0 ,   9700.0  ,   96
70.0 ,   9800.0  ,   97
60.0 ,   9900.0  ,   98
68.0 ,   10000.0  ,   99
67.0 ,   10100.0  ,   100
80.0 ,   10200.0  ,   101
71.0 ,   10300.0  ,   102
67.0 ,   10400.0  ,   103
66.0 ,   10500.0  ,   104
69.0 ,   10600.0  ,   105
61.0 ,   10700.0  ,   106
65.0 ,   10800.0  ,   107
69.0 ,   10900.0  ,   108
65.0 ,   11000.0  ,   109
69.0 ,   11100.0  ,   110
66.0 ,   11200.0  ,   111
63.0 ,   11300.0  ,   112
66.0 ,   11400.0  ,   113
63.0 ,   11500.0  ,   114
64.0 ,   11600.0  ,   115
71.0 ,   11700.0  ,   116
72.0 ,   11800.0  ,   117
75.0 ,   11900.0  ,   118
74.0 ,   12000.0  ,   119
55.0 ,   12100.0  ,   120
61.0 ,   12200.0  ,   121
73.0 ,   12300.0  ,   122
66.0 ,   12400.0  ,   123
64.0 ,   12500.0  ,   124
64.0 ,   12600.0  ,   125
65.0 ,   12700.0  ,   126
70.0 ,   12800.0  ,   127
55.0 ,   12900.0  ,   128
58.0 ,   13000.0  ,   129
49.0 ,   13100.0  ,   130
68.0 ,   13200.0  ,   131
63.0 ,   13300.0  ,   132
64.0 ,   13400.0  ,   133
62.0 ,   13500.0  ,   134
54.0 ,   13600.0  ,   135
45.0 ,   13700.0  ,   136
46.0 ,   13800.0  ,   137
44.0 ,   13900.0  ,   138
19.0 ,   14000.0  ,   139
20.0 ,   14100.0  ,   140
33.0 ,   14200.0  ,   141
57.0 ,   14300.0  ,   142
44.0 ,   14400.0  ,   143
53.0 ,   14500.0  ,   144
65.0 ,   14600.0  ,   145
55.0 ,   14700.0  ,   146
57.0 ,   14800.0  ,   147
52.0 ,   14900.0  ,   148
60.0 ,   15000.0  ,   149
71.0 ,   15100.0  ,   150
61.0 ,   15200.0  ,   151
55.0 ,   15300.0  ,   152
54.0 ,   15400.0  ,   153
45.0 ,   15500.0  ,   154
45.0 ,   15600.0  ,   155
53.0 ,   15700.0  ,   156
47.0 ,   15800.0  ,   157
36.0 ,   15900.0  ,   158
40.0 ,   16000.0  ,   159
43.0 ,   16100.0  ,   160
37.0 ,   16200.0  ,   161
37.0 ,   16300.0  ,   162
31.0 ,   16400.0  ,   163
31.0 ,   16500.0  ,   164
37.0 ,   16600.0  ,   165
36.0 ,   16700.0  ,   166
35.0 ,   16800.0  ,   167
52.0 ,   16900.0  ,   168
